sentiment,keyword,frequency
positive,league,82
positive,season,82
positive,olympiacos,65
positive,one,54
positive,year,41
positive,players,41
positive,nfl,41
positive,first,38
positive,play,33
positive,lincoln,33
positive,time,30
positive,also,27
positive,matches,27
positive,last,26
positive,like,26
positive,ago,26
positive,win,24
positive,played,24
positive,club,23
positive,roma,22
positive,top,22
positive,teams,22
positive,maroons,22
positive,many,21
positive,career,21
positive,left,20
positive,match,20
positive,next,20
positive,two,20
positive,every,19
neutral,stadium,7
neutral,new,5
neutral,club,4
neutral,soccer,4
neutral,world,2
neutral,league,2
neutral,home,2
neutral,school,2
neutral,money,2
neutral,chicago,2
neutral,city,2
neutral,sss,2
neutral,albania,1
neutral,hung,1
neutral,littlest,1
neutral,possible,1
neutral,serbia,1
neutral,flag,1
neutral,ahead,1
neutral,teams,1
neutral,cup,1
neutral,qualifier,1
neutral,tonight,1
neutral,europa,1
neutral,champs,1
neutral,kit,1
neutral,barcelona,1
neutral,taking,1
neutral,shape,1
neutral,capacity,1
negative,stadium,3
negative,soccer,2
negative,one,2
negative,new,2
negative,massive,1
negative,brawl,1
negative,broke,1
negative,beyonce,1
negative,concert,1
negative,tottenham,1
negative,hotspur,1
negative,yesterday,1
negative,paris,1
negative,outside,1
negative,police,1
negative,bother,1
negative,try,1
negative,stop,1
negative,white,1
negative,guy,1
negative,running,1
negative,away,1
negative,chicago,1
negative,fire,1
negative,announced,1
negative,plans,1
negative,seat,1
negative,million,1
negative,project,1
negative,privately,1
